,ID,date,promotion,match_fixture,meltzer_rating,match_type,rating,votes
77,56,03.08.2019,Lucha Libre AAA World Wide,Blue Demon Jr. vs. Dr. Wagner Jr.,***1/4,Mask Vs. Hair,8.72,49
78,58,03.08.2019,Lucha Libre AAA World Wide,"Fenix   , Laredo Kid & Pentagon Jr. vs. Kenny Omega, Matt Jackson & Nick Jackson",****,Six Man Tag Team,6.77,46
79,60,03.08.2019,Lucha Libre AAA World Wide,"Cain Velasquez, Cody  & Psycho Clown vs. El Texano Jr., Killer Kross & Taurus     ",***1/4,Six Man Tag Team,6.33,20
80,62,01.08.2019,New Japan Pro Wrestling,Jeff Cobb vs. Shingo Takagi,****1/4,Singles,7.45,93
81,64,01.08.2019,New Japan Pro Wrestling,Hirooki Goto vs. Tomohiro Ishii,****1/4,Singles,8.37,101
82,66,30.07.2019,New Japan Pro Wrestling,EVIL vs. Hiroshi Tanahashi,****3/4,Singles,8.05,100
83,68,29.07.2019,World Wrestling Entertainment,Dash Wilder & Scott Dawson vs. Jey Uso & Jimmy Uso vs. Karl Anderson & Luke Gallows,***3/4,Triple Threat Tag Team,6.39,22
84,70,28.07.2019,PROGRESS Wrestling,Shigehiro Irie vs. The OJMO,,Singles, , 
85,72,28.07.2019,All Japan Pro Wrestling,Kento Miyahara vs. Zeus ,,Singles,9.29,44
86,74,28.07.2019,Beyond Wrestling,David Starr vs. Joey Janela,,60 Minute Iron Man,7.96,22
87,76,28.07.2019,Pro Wrestling ZERO1,Towa Iwasaki vs. Yuji Hino,,Singles,6.67,5
88,78,28.07.2019,New Japan Pro Wrestling,Juice Robinson vs. Tomohiro Ishii,****1/2,Singles,8.94,159
89,80,28.07.2019,New Japan Pro Wrestling,Jeff Cobb vs. Taichi,***3/4,Singles,5.46,34
90,82,27.07.2019,Pro Wrestling NOAH,Kaito Kiyomiya vs. Katsuhiko Nakajima,,Singles,7.97,29
91,84,27.07.2019,New Japan Pro Wrestling,Kazuchika Okada vs. KENTA,****1/2,Singles,8.29,149
92,86,27.07.2019,New Japan Pro Wrestling,EVIL vs. Zack Sabre Jr.,***3/4,Singles,7.08,92
93,88,26.07.2019,Pro Wrestling Guerrilla,Andy Brown vs. Trey Miguel,***1/2,Singles, , 
94,90,26.07.2019,Pro Wrestling Guerrilla,Darby Allin vs. MJF,****,Singles, , 
95,92,26.07.2019,Pro Wrestling Guerrilla,Joey Janela vs. Jungle Boy ,***1/4,Singles, , 
96,94,26.07.2019,Pro Wrestling Guerrilla,Dezmond Xavier & Zachary Wentz vs. Ortiz  & Santana   ,****1/4,Tag Team, , 
97,96,24.07.2019,Beyond Wrestling,David Starr vs. Wheeler Yuta,,Singles, , 
98,98,24.07.2019,Beyond Wrestling,Chris Dickinson vs. Timothy Thatcher,,Singles,6.71,6
99,100,24.07.2019,New Japan Pro Wrestling,Jon Moxley vs. Shingo Takagi,****1/4,Singles,8.24,153
100,3,12.08.2019,New Japan Pro Wrestling,Clark Connors & Karl Fredericks vs. Ren Narita & Yota Tsuji,***3/4,Tag Team, , 
101,5,12.08.2019,World Wrestling Entertainment,Cedric Alexander vs. Drew McIntyre,,Singles,7.58,37
102,7,12.08.2019,New Japan Pro Wrestling,Hiroshi Tanahashi & Kazuchika Okada vs. Minoru Suzuki & Zack Sabre Jr.,****1/2,Tag Team,7.82,59
103,9,11.08.2019,New Japan Pro Wrestling,"Clark Connors, KENTA & Karl Fredericks vs. Kota Ibushi, Toa Henare & Tomoaki Honma",***1/2,Six Man Tag Team, , 
104,11,11.08.2019,All Japan Pro Wrestling,Hitoshi Kumano & Naoya Nomura vs. Jun Akiyama & Takashi Sugiura,,Tag Team,7.00,11
105,13,11.08.2019,New Japan Pro Wrestling,Taichi vs. Tomohiro Ishii,****1/2,Singles,8.85,103
106,15,11.08.2019,New Japan Pro Wrestling,Jon Moxley vs. Juice Robinson,****1/4,Singles,7.74,77
107,17,11.08.2019,World Wrestling Entertainment,Becky Lynch vs. Natalya,***1/4,Submission,6.51,103
108,19,11.08.2019,World Wrestling Entertainment,Charlotte Flair vs. Trish Stratus,***1/4,Singles,7.44,111
